Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,O/U,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog
3.0,-0.03206012527678729,0.03150237776303594,0.027849054269558506,-0.028266471204977828,0.0,0.0,Under,0.019948989594459076,0.021958019228851707,0.021712509523794363,0.022630260996453013,0.02072288050550352,0.021561317955789912,0.024397897265691644,0.02319405035952474,0.02476712052986809,0.02475678150404454
2.0,-0.018320071586735594,0.025943134628382537,-0.019081759406919717,0.013301868802342506,0.0,0.0,Over,0.02091841657551099,0.022749996100887123,0.023594983921579698,0.02548260464677619,0.024026528122322924,0.02394333022519146,0.022961729128717752,0.02410144356416535,0.02537746934172412,0.026152477396270416
2.0,-0.02748010738010339,0.02964929671815147,-0.029499368596643455,0.019121436403367352,0.0,0.0,Over,0.021236509803668657,0.019257930637214683,0.02650054223120489,0.022696982485349456,0.02627129232117995,0.02468257541224712,0.02593938176975481,0.023133582832476185,0.0283104998379127,0.02462753342785654
2.0,-0.018320071586735594,0.02841390935489516,-0.02166037554298995,0.014548919002562116,0.0,0.0,Under,0.025292198462678845,0.023262018357691417,0.030466549256406694,0.027070576082511677,0.02724436671013403,0.024395091172836586,0.029191172519881913,0.02640643527134336,0.030588975583161884,0.027872760123802482
2.0,-0.004580017896683899,0.024707747265126225,-0.011861634225923068,-0.00872935140153727,0.0,0.0,Over,0.0216416999871552,0.023232549450824987,0.02752540541941316,0.02346628125232551,0.021134763844743346,0.02382012269401552,0.026276630810433934,0.025913567881060785,0.027541642528649282,0.02606567035502926
2.0,-0.013740053690051695,0.02532544094675438,-0.015471696816421392,0.010807768401903287,0.0,0.0,Under,0.023720666442614207,0.02260633517991326,0.025524075360217564,0.02561271155012427,0.026300467391042772,0.025668235661654656,0.025694432466524707,0.023897983646108883,0.02792271498400134,0.025294581832409783
2.0,-0.004580017896683899,0.027178521991638848,-0.011861634225923068,-0.00872935140153727,0.0,0.0,Under,0.024697667071955594,0.018340710910996927,0.025984552084363916,0.02673530060080702,0.02820886019618728,0.02320408503813581,0.027403160939298926,0.021282668026530737,0.028632886751574913,0.0245279849096011
2.0,-0.018320071586735594,0.024707747265126225,0.017534589725277577,-0.015795969202781725,0.0,0.0,Over,0.02034660612965615,0.026636208193898118,0.024389252892441114,0.027345802224209525,0.026214658362034477,0.025011128828716298,0.02751952171941628,0.02824251841971086,0.027988017032842493,0.02872158082273928
2.0,-0.018320071586735594,0.02841390935489516,0.016503143270849487,-0.01496460240263532,0.0,0.0,Over,0.020562455105905993,0.024294903543359937,0.028964840001462634,0.025787855458477445,0.024927522926910035,0.0233683617463704,0.02314987859351768,0.02732295564987809,0.026032599441111446,0.027823994182999627
2.0,-0.009160035793367797,0.030266990399779627,0.012377357453137113,-0.011639135202049693,0.0,0.0,Over,0.02189541720485239,0.02217903603034996,0.025957862938837666,0.024461765866660528,0.02595723127500959,0.02365584598578093,0.026857645824375852,0.029436657004191794,0.027669561666907882,0.02846345133157232
2.0,-0.018320071586735594,0.02841390935489516,0.01856603617970567,-0.018290069603220948,0.0,0.0,Under,0.02493245016892911,0.019088484422732692,0.024719486586419332,0.021184072724622482,0.026432613295715543,0.02176666384108315,0.021912904334371805,0.021653459465979435,0.024796367409305027,0.02372142191500662
2.0,-0.013740053690051695,0.024707747265126225,0.013408803907565206,-0.0124705020021961,0.0,0.0,Over,0.02207718476379962,0.021615443186529415,0.025728692142585535,0.021459298866320333,0.02889190006709332,0.02525754389106818,0.0287383515857303,0.026302233369385468,0.02976622730260812,0.026373390774719414
2.0,-0.013740053690051695,0.026560828310010692,-0.015884275398192628,0.010807768401903287,0.0,0.0,Over,0.024436376205968946,0.02749080649302471,0.028812533944326126,0.026086434121289047,0.02840278860174603,0.026001717379370872,0.02711008955073215,0.027911658366048944,0.028431323011980036,0.028434485096057848
2.0,-0.03206012527678729,0.0321200714446641,0.024754714906274226,-0.0249410040043922,0.0,0.0,Over,0.024364426547218997,0.027313993051826108,0.024504194145840857,0.025592361496010848,0.02368329200628974,0.028296662993408096,0.025491294155472376,0.027192513122974594,0.026298889881099546,0.02857216638005385
0.0,-0.013740053690051695,0.03397315248954856,-0.019391193343248146,0.0124705020021961,0.0,0.0,Under,0.01694225122354022,0.022853137274919645,0.024064712882841826,0.02595799525516339,0.025746999153939264,0.023902261048132818,0.026837134771609403,0.028092300349370103,0.02784686488028129,0.02731112681684937
0.0,-0.009160035793367797,0.025943134628382537,-0.014646539652878918,0.00997640160175688,0.0,0.0,Under,0.018051790697947306,0.019084800809374386,0.022778296068476235,0.027649384998688364,0.02595723127500959,0.02468257541224712,0.022252520034985512,0.026509876575476734,0.02437511645400518,0.02773223721543638
3.0,-0.013740053690051695,0.025943134628382537,0.015471696816421392,-0.014133235602488914,0.0,1.0,Over,0.00999721574209794,0.011198184609244958,0.015657632042070838,0.014278398623840035,0.020594166961991078,0.029569807482226165,0.031492354862948574,0.0010344130413338028,0.03166717857460088,0.010515843475381146
2.0,-0.009160035793367797,0.02841390935489516,-0.01289308068035116,0.00872935140153727,0.0,1.0,Over,0.005755972699995784,0.011198184609244958,0.02861076400414762,0.021484319424656503,0.044620695084314,0.022998739152842573,0.02603325928049356,0.035078771666408076,0.029189344592140582,0.03034488166047921
