,Favorite,Spread,Underdog,Pred_Total,Away Money Line,Home Money Line,Week,Year,True_Results,Pred_Results,Correct,PtsW,PtsL,True_total
64,Falcons,-3.5,Titans,45.5,157.0,-189.0,4,2019,Under,Under,True,16,10,26
65,Ravens,-7.0,Browns,45.0,252.0,-315.0,4,2019,Under,Under,True,24,10,34
66,Patriots,-7.0,Bills,41.5,-314.0,253.0,4,2019,Under,Over,False,24,3,27
67,Chiefs,-6.5,Lions,54.5,-331.0,261.0,4,2019,Under,Under,True,30,10,40
68,Chargers,-14.5,Dolphins,44.5,-970.0,604.0,4,2019,Over,Under,False,31,24,55
69,Giants,-3.0,Redskins,49.0,134.0,-161.0,4,2019,Over,Under,False,34,30,64
70,Seahawks,-5.0,Cardinals,48.0,-244.0,196.0,4,2019,Under,Over,False,27,10,37
71,Rams,-9.0,Buccaneers,49.5,334.0,-442.0,4,2019,Over,Over,True,55,40,95
72,Bears,-2.0,Vikings,38.0,106.0,-128.0,4,2019,Under,Under,True,16,6,22
73,Broncos,-3.0,Jaguars,37.5,129.0,-155.0,4,2019,Over,Over,True,26,24,50
74,Cowboys,-3.0,Saints,47.0,-155.0,128.0,4,2019,Under,Over,False,12,10,22
75,Steelers,-3.5,Bengals,44.5,155.0,-186.0,4,2019,Under,Over,False,27,3,30
76,Seahawks,-1.5,Rams,48.5,104.0,-124.0,5,2019,Over,Over,True,30,29,59
77,Titans,-2.5,Bills,39.5,126.0,-153.0,5,2019,Under,Under,True,31,6,37
78,Patriots,-15.0,Redskins,42.5,-906.0,614.0,5,2019,Over,Over,True,24,21,45
79,Panthers,-3.0,Jaguars,40.0,149.0,-179.0,5,2019,Over,Under,False,26,23,49
80,Bengals,-3.0,Cardinals,47.5,132.0,-158.0,5,2019,Under,Under,True,33,7,40
81,Texans,-4.0,Falcons,50.0,167.0,-205.0,5,2019,Over,Over,True,34,27,61
82,Saints,-3.0,Buccaneers,46.0,139.0,-168.0,5,2019,Under,Over,False,28,10,38
83,Vikings,-5.0,Giants,43.5,-222.0,182.0,5,2019,Over,Under,False,26,23,49
84,Bears,-5.0,Raiders,40.5,-233.0,190.0,5,2019,Over,Over,True,31,24,55
85,Eagles,-14.5,Jets,44.0,579.0,-884.0,5,2019,Under,Over,False,14,7,21
86,Ravens,-3.0,Steelers,44.0,-183.0,151.0,5,2019,Over,Over,True,53,32,85
87,Chargers,-6.0,Broncos,44.5,219.0,-270.0,5,2019,Under,Over,False,20,13,33
88,Cowboys,-3.5,Packers,47.0,149.0,-179.0,5,2019,Over,Over,True,34,24,58
89,Chiefs,-11.0,Colts,56.0,425.0,-577.0,5,2019,Under,Over,False,19,13,32
90,49ers,-4.5,Browns,48.0,187.0,-227.0,5,2019,Under,Over,False,31,3,34
91,Patriots,-16.5,Giants,43.5,733.0,-1222.0,6,2019,Over,Over,True,35,14,49
92,Panthers,-2.0,Buccaneers,47.0,-129.0,108.0,6,2019,Over,Over,True,37,26,63
93,Redskins,-5.0,Dolphins,42.0,-248.0,201.0,6,2019,Under,Under,True,17,16,33
